Opps,Form,ItemId,Subject,Grade,Reporting_Category,Knowledge_and_Skill,Subject_Grade,difficulty,P.Value
Opportunity 3,Easy,A39185,Math,3,4.Measurement,4.Measurement.1,Math_G3,-0.5123697454875433,0.97
Opportunity 2,Easy,A73699,Math,3,2.Algebra,2.Algebra.6,Math_G3,-1.2013411716412294,0.64
Opportunity 2,Easy,A45039,Math,3,1.Probability,1.Probability.2,Math_G3,-1.0339832698154423,0.59
Opportunity 1,Easy,A19880,Language Arts,4,3.Grammar,3.Grammar.2,Language Arts_G4,-1.5214624252650668,0.7
Opportunity 2,Easy,A41230,Natural Science,5,3.Earth Science,3.Earth Science.1,Natural Science_G5,-1.2264747239077103,0.99
Opportunity 3,Easy,A60960,Natural Science,5,1.Biology,1.Biology.4,Natural Science_G5,-1.1860324716046278,0.89
Opportunity 2,Easy,A96720,Language Arts,4,1.Vocabulary,1.Vocabulary.1,Language Arts_G4,-0.8888124019370716,0.85
Opportunity 2,Easy,A21976,Natural Science,5,3.Earth Science,3.Earth Science.6,Natural Science_G5,0.03398630166048866,0.93
Opportunity 3,Easy,A26830,Natural Science,5,1.Biology,1.Biology.2,Natural Science_G5,-0.22921061231797846,0.56
Opportunity 1,Easy,A82443,Language Arts,4,4.Writing,4.Writing.6,Language Arts_G4,0.8403369594663301,0.86
Opportunity 1,Easy,A26742,Natural Science,5,2.Physics,2.Physics.4,Natural Science_G5,-1.0462780845636142,0.78
Opportunity 3,Easy,A12900,Language Arts,4,2.Reading,2.Reading.2,Language Arts_G4,-0.3111444892971527,0.97
Opportunity 1,Easy,A52832,Math,3,3.Geometry,3.Geometry.2,Math_G3,-0.7910029251983549,0.59
Opportunity 1,Easy,A34311,Language Arts,4,2.Reading,2.Reading.4,Language Arts_G4,-2.326817983147543,0.52
Opportunity 1,Easy,A13551,Language Arts,4,4.Writing,4.Writing.2,Language Arts_G4,-1.3152368900506892,0.87
Opportunity 2,Easy,A65763,Language Arts,4,1.Vocabulary,1.Vocabulary.5,Language Arts_G4,-1.5160372356117346,0.59
Opportunity 1,Easy,A22263,Math,3,2.Algebra,2.Algebra.5,Math_G3,-2.073038258168942,0.7
Opportunity 3,Easy,A98919,Math,3,4.Measurement,4.Measurement.1,Math_G3,-1.5080058204604785,0.89
Opportunity 1,Easy,A75662,Natural Science,5,3.Earth Science,3.Earth Science.3,Natural Science_G5,-1.27339427663297,0.87
Opportunity 1,Easy,A70409,Math,3,4.Measurement,4.Measurement.5,Math_G3,-1.0612981697598984,0.94
Opportunity 1,Easy,A39831,Natural Science,5,4.Chemistry,4.Chemistry.5,Natural Science_G5,-0.16514942275794353,0.69
Opportunity 3,Easy,A62475,Natural Science,5,3.Earth Science,3.Earth Science.3,Natural Science_G5,-2.0858343342752623,0.59
Opportunity 1,Easy,A56931,Natural Science,5,4.Chemistry,4.Chemistry.4,Natural Science_G5,-2.3338913915860173,0.85
Opportunity 2,Easy,A21204,Language Arts,4,4.Writing,4.Writing.5,Language Arts_G4,0.6102029983598427,0.85
Opportunity 3,Easy,A63716,Language Arts,4,4.Writing,4.Writing.2,Language Arts_G4,0.05287842757786354,0.79
Opportunity 2,Easy,A37417,Language Arts,4,4.Writing,4.Writing.5,Language Arts_G4,-1.7241171285062435,0.62
Opportunity 1,Easy,A37080,Natural Science,5,3.Earth Science,3.Earth Science.4,Natural Science_G5,-1.0817051217404217,0.63
Opportunity 2,Easy,A24033,Natural Science,5,4.Chemistry,4.Chemistry.4,Natural Science_G5,0.34317081638724223,0.79
Opportunity 1,Easy,A44089,Natural Science,5,3.Earth Science,3.Earth Science.6,Natural Science_G5,-1.411580375696265,0.73
Opportunity 1,Easy,A34901,Language Arts,4,4.Writing,4.Writing.2,Language Arts_G4,-2.307888672659116,0.77
Opportunity 1,Easy,A79653,Math,3,4.Measurement,4.Measurement.6,Math_G3,-1.2895465792709175,0.98
Opportunity 3,Easy,A69906,Math,3,4.Measurement,4.Measurement.2,Math_G3,-1.3798853869726826,0.93
Opportunity 3,Easy,A80001,Language Arts,4,3.Grammar,3.Grammar.5,Language Arts_G4,0.2511477926311805,0.73
Opportunity 1,Easy,A89225,Math,3,2.Algebra,2.Algebra.6,Math_G3,-0.025729427857624554,0.92
Opportunity 3,Easy,A28401,Natural Science,5,4.Chemistry,4.Chemistry.4,Natural Science_G5,0.8746957890697558,0.84
Opportunity 3,Easy,A89539,Natural Science,5,2.Physics,2.Physics.3,Natural Science_G5,-0.5912770335211068,0.77
Opportunity 1,Easy,A70139,Math,3,4.Measurement,4.Measurement.3,Math_G3,-0.312618585996246,0.93
Opportunity 1,Easy,A79801,Math,3,2.Algebra,2.Algebra.5,Math_G3,-1.6593359488980433,0.5
Opportunity 1,Easy,A19602,Natural Science,5,2.Physics,2.Physics.4,Natural Science_G5,-3.0265391550247642,0.98
Opportunity 3,Easy,A50863,Natural Science,5,2.Physics,2.Physics.4,Natural Science_G5,-1.1097354968631308,0.83
Opportunity 1,Easy,A63660,Math,3,1.Probability,1.Probability.1,Math_G3,-1.38681837382825,0.82
Opportunity 2,Easy,A93667,Natural Science,5,1.Biology,1.Biology.5,Natural Science_G5,-0.9347522628408627,0.51
Opportunity 3,Easy,A27520,Math,3,1.Probability,1.Probability.1,Math_G3,0.3927544008696848,0.64
Opportunity 3,Easy,A28099,Natural Science,5,2.Physics,2.Physics.6,Natural Science_G5,-1.4629196508498243,0.66
Opportunity 2,Easy,A56678,Math,3,4.Measurement,4.Measurement.1,Math_G3,-0.4769247528229473,0.71
Opportunity 1,Easy,A57984,Math,3,1.Probability,1.Probability.4,Math_G3,-0.002894107668505952,0.89
Opportunity 2,Easy,A31943,Natural Science,5,1.Biology,1.Biology.4,Natural Science_G5,-1.0706913371344813,0.5
Opportunity 2,Easy,A22619,Language Arts,4,4.Writing,4.Writing.1,Language Arts_G4,-0.6787772742330713,0.63
Opportunity 1,Easy,A42702,Math,3,3.Geometry,3.Geometry.4,Math_G3,0.377167592861144,0.83
Opportunity 2,Easy,A20460,Math,3,4.Measurement,4.Measurement.3,Math_G3,0.10347542292702872,0.83
Opportunity 3,Easy,A62205,Natural Science,5,3.Earth Science,3.Earth Science.3,Natural Science_G5,-2.6983444113040047,1.0
Opportunity 1,Easy,A70759,Math,3,2.Algebra,2.Algebra.3,Math_G3,-1.1998846206065628,0.92
Opportunity 3,Easy,A15944,Math,3,1.Probability,1.Probability.4,Math_G3,-2.2673983922760135,0.91
Opportunity 1,Easy,A34824,Language Arts,4,2.Reading,2.Reading.3,Language Arts_G4,-0.9649372707374003,0.55
