"Opps","Form","ItemId","Subject","Grade","Reporting_Category","Knowledge_and_Skill","Subject_Grade","difficulty","P.Value","ScorePoints","model","P0","P1","P2"
"Opportunity 3","Easy","A39185","Math",3,"4.Measurement","4.Measurement.1","Math_G3",-0.512369745487543,0.97,1,"logit",1,-0.512369745487543,0
"Opportunity 2","Easy","A73699","Math",3,"2.Algebra","2.Algebra.6","Math_G3",-1.20134117164123,0.64,1,"logit",1,-1.20134117164123,0
"Opportunity 2","Easy","A45039","Math",3,"1.Probability","1.Probability.2","Math_G3",-1.03398326981544,0.59,1,"logit",1,-1.03398326981544,0
"Opportunity 1","Easy","A19880","Language Arts",4,"3.Grammar","3.Grammar.2","Language Arts_G4",-1.52146242526507,0.7,2,"adjacent logit",-2.55361751611045,-0.489307334419689,NA
"Opportunity 2","Easy","A41230","Natural Science",5,"3.Earth Science","3.Earth Science.1","Natural Science_G5",-1.22647472390771,0.99,2,"adjacent logit",-2.1463874821272,-0.30656196568822,NA
"Opportunity 3","Easy","A60960","Natural Science",5,"1.Biology","1.Biology.4","Natural Science_G5",-1.18603247160463,0.89,1,"logit",1,-1.18603247160463,0
"Opportunity 2","Easy","A96720","Language Arts",4,"1.Vocabulary","1.Vocabulary.1","Language Arts_G4",-0.888812401937072,0.85,1,"logit",1,-0.888812401937072,0
"Opportunity 2","Easy","A21976","Natural Science",5,"3.Earth Science","3.Earth Science.6","Natural Science_G5",0.0339863016604887,0.93,2,"adjacent logit",-0.355848905146766,0.423821508467743,NA
"Opportunity 3","Easy","A26830","Natural Science",5,"1.Biology","1.Biology.2","Natural Science_G5",-0.229210612317978,0.56,1,"logit",1,-0.229210612317978,0
"Opportunity 1","Easy","A82443","Language Arts",4,"4.Writing","4.Writing.6","Language Arts_G4",0.84033695946633,0.86,1,"logit",1,0.84033695946633,0
"Opportunity 1","Easy","A26742","Natural Science",5,"2.Physics","2.Physics.4","Natural Science_G5",-1.04627808456361,0.78,2,"adjacent logit",-3.9884912861251,1.89593511699787,NA
"Opportunity 3","Easy","A12900","Language Arts",4,"2.Reading","2.Reading.2","Language Arts_G4",-0.311144489297153,0.97,1,"logit",1,-0.311144489297153,0
"Opportunity 1","Easy","A52832","Math",3,"3.Geometry","3.Geometry.2","Math_G3",-0.791002925198355,0.59,1,"logit",1,-0.791002925198355,0
"Opportunity 1","Easy","A34311","Language Arts",4,"2.Reading","2.Reading.4","Language Arts_G4",-2.32681798314754,0.52,1,"logit",1,-2.32681798314754,0
"Opportunity 1","Easy","A13551","Language Arts",4,"4.Writing","4.Writing.2","Language Arts_G4",-1.31523689005069,0.87,1,"logit",1,-1.31523689005069,0
"Opportunity 2","Easy","A65763","Language Arts",4,"1.Vocabulary","1.Vocabulary.5","Language Arts_G4",-1.51603723561173,0.59,2,"adjacent logit",-1.61672271936628,-1.41535175185719,NA
"Opportunity 1","Easy","A22263","Math",3,"2.Algebra","2.Algebra.5","Math_G3",-2.07303825816894,0.7,1,"logit",1,-2.07303825816894,0
"Opportunity 3","Easy","A98919","Math",3,"4.Measurement","4.Measurement.1","Math_G3",-1.50800582046048,0.89,1,"logit",1,-1.50800582046048,0
"Opportunity 1","Easy","A75662","Natural Science",5,"3.Earth Science","3.Earth Science.3","Natural Science_G5",-1.27339427663297,0.87,1,"logit",1,-1.27339427663297,0
"Opportunity 1","Easy","A70409","Math",3,"4.Measurement","4.Measurement.5","Math_G3",-1.0612981697599,0.94,2,"adjacent logit",-3.06092833963226,0.938332000112464,NA
"Opportunity 1","Easy","A39831","Natural Science",5,"4.Chemistry","4.Chemistry.5","Natural Science_G5",-0.165149422757944,0.69,2,"adjacent logit",-0.899959502272365,0.569660656756477,NA
"Opportunity 3","Easy","A62475","Natural Science",5,"3.Earth Science","3.Earth Science.3","Natural Science_G5",-2.08583433427526,0.59,1,"logit",1,-2.08583433427526,0
"Opportunity 1","Easy","A56931","Natural Science",5,"4.Chemistry","4.Chemistry.4","Natural Science_G5",-2.33389139158602,0.85,1,"logit",1,-2.33389139158602,0
"Opportunity 2","Easy","A21204","Language Arts",4,"4.Writing","4.Writing.5","Language Arts_G4",0.610202998359843,0.85,2,"adjacent logit",-0.0509140944770894,1.27132009119677,NA
